year,expenditure_type,school,funding_category,amount
2016,Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Student Instructional Support,9375929
2006,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Overhead and Operational,20028655
2009,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Overhead and Operational,192
2013,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Overhead and Operational,18846952
2014,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Overhead and Operational,20220250
2015,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Overhead and Operational,20466608
2016,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Overhead and Operational,21333207
2006,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Non Operational,22657437
2009,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Non Operational,217
2013,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Non Operational,20337519
2014,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Non Operational,24014856
2015,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Non Operational,21638531
2016,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Non Operational,21304411
2006,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Not Categorized,0
2009,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Not Categorized,00
2013,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Not Categorized,0
2014,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Not Categorized,0
2015,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Not Categorized,0
2016,Non-Instructional,PennHarrisMadison_Sch_Corpnbsp_7175,Not Categorized,0
2006,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Academic Achievement,6745890
2009,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Academic Achievement,7002366
2013,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Academic Achievement,6892791
2014,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Academic Achievement,7169558
2015,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Academic Achievement,7381514
2016,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Academic Achievement,7166482
2006,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Instructional Support,587713
2009,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Instructional Support,678052
2013,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Instructional Support,1258552
2014,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Instructional Support,1119870
2015,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Instructional Support,624642
2016,Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Student Instructional Support,622557
2006,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Overhead and Operational,2452918
2009,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Overhead and Operational,224
2013,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Overhead and Operational,2810201
2014,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Overhead and Operational,3052545
2015,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Overhead and Operational,3010548
2016,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Overhead and Operational,2944751
2006,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Non Operational,1187372
2009,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Non Operational,108
2013,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Non Operational,602794
2014,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Non Operational,1771031
2015,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Non Operational,1471284
2016,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Non Operational,1351829
2006,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Not Categorized,0
2009,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Not Categorized,00
2013,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Not Categorized,0
2014,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Not Categorized,0
2015,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Not Categorized,0
2016,Non-Instructional,Perry_Central_Com_Schools_Corpnbsp_6325,Not Categorized,0
2006,Instructional,Peru_Community_Schoolsnbsp_5635,Student Academic Achievement,12262770
2009,Instructional,Peru_Community_Schoolsnbsp_5635,Student Academic Achievement,12547352
2013,Instructional,Peru_Community_Schoolsnbsp_5635,Student Academic Achievement,10644351
2014,Instructional,Peru_Community_Schoolsnbsp_5635,Student Academic Achievement,10923767
2015,Instructional,Peru_Community_Schoolsnbsp_5635,Student Academic Achievement,10279257
2016,Instructional,Peru_Community_Schoolsnbsp_5635,Student Academic Achievement,11058812
2006,Instructional,Peru_Community_Schoolsnbsp_5635,Student Instructional Support,1427900
2009,Instructional,Peru_Community_Schoolsnbsp_5635,Student Instructional Support,1803042
2013,Instructional,Peru_Community_Schoolsnbsp_5635,Student Instructional Support,1536934
2014,Instructional,Peru_Community_Schoolsnbsp_5635,Student Instructional Support,1553157
2015,Instructional,Peru_Community_Schoolsnbsp_5635,Student Instructional Support,1591582
2016,Instructional,Peru_Community_Schoolsnbsp_5635,Student Instructional Support,1776948
2006,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Overhead and Operational,4099362
2009,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Overhead and Operational,149
2013,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Overhead and Operational,5279591
2014,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Overhead and Operational,5095269
2015,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Overhead and Operational,5802898
2016,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Overhead and Operational,5978804
2006,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Non Operational,9808983
2009,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Non Operational,355
2013,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Non Operational,2345156
2014,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Non Operational,2770217
2015,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Non Operational,2811005
2016,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Non Operational,3110954
2006,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Not Categorized,0
2009,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Not Categorized,00
2013,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Not Categorized,0
2014,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Not Categorized,0
2015,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Not Categorized,0
2016,Non-Instructional,Peru_Community_Schoolsnbsp_5635,Not Categorized,0
2006,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Academic Achievement,0
2009,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Academic Achievement,0
2013,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Academic Achievement,0
2014,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Academic Achievement,1144137
2015,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Academic Achievement,1461886
2016,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Academic Achievement,1397245
2006,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Instructional Support,0
2009,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Instructional Support,0
2013,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Instructional Support,0
2014,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Instructional Support,540656
2015,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Instructional Support,860977
2016,Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Student Instructional Support,914860
2006,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Overhead and Operational,0
2009,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Overhead and Operational,0
2013,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Overhead and Operational,0
2014,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Overhead and Operational,448729
2015,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Overhead and Operational,667278
2016,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Overhead and Operational,452373
2006,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Non Operational,0
2009,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Non Operational,0
2013,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Non Operational,0
2014,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Non Operational,823514
2015,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Non Operational,640026
2016,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Non Operational,7342140
2006,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Not Categorized,0
2009,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Not Categorized,0
2013,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Not Categorized,0
2014,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Not Categorized,0
2015,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Not Categorized,0
2016,Non-Instructional,Phalen_Ldrshp_Acad__IN_Incnbsp_9925,Not Categorized,0
2006,Instructional,Pike_County_School_Corpnbsp_6445,Student Academic Achievement,10211577
2009,Instructional,Pike_County_School_Corpnbsp_6445,Student Academic Achievement,10134077
2013,Instructional,Pike_County_School_Corpnbsp_6445,Student Academic Achievement,12285406
2014,Instructional,Pike_County_School_Corpnbsp_6445,Student Academic Achievement,11118201
2015,Instructional,Pike_County_School_Corpnbsp_6445,Student Academic Achievement,10171421
2016,Instructional,Pike_County_School_Corpnbsp_6445,Student Academic Achievement,9383048
2006,Instructional,Pike_County_School_Corpnbsp_6445,Student Instructional Support,1384749
2009,Instructional,Pike_County_School_Corpnbsp_6445,Student Instructional Support,1429586
2013,Instructional,Pike_County_School_Corpnbsp_6445,Student Instructional Support,2217630
2014,Instructional,Pike_County_School_Corpnbsp_6445,Student Instructional Support,1849476
2015,Instructional,Pike_County_School_Corpnbsp_6445,Student Instructional Support,1886092
2016,Instructional,Pike_County_School_Corpnbsp_6445,Student Instructional Support,1829781
2006,Non-Instructional,Pike_County_School_Corpnbsp_6445,Overhead and Operational,5443528
2009,Non-Instructional,Pike_County_School_Corpnbsp_6445,Overhead and Operational,263
2013,Non-Instructional,Pike_County_School_Corpnbsp_6445,Overhead and Operational,6378767
2014,Non-Instructional,Pike_County_School_Corpnbsp_6445,Overhead and Operational,5759415
2015,Non-Instructional,Pike_County_School_Corpnbsp_6445,Overhead and Operational,5451753
2016,Non-Instructional,Pike_County_School_Corpnbsp_6445,Overhead and Operational,5458980
2006,Non-Instructional,Pike_County_School_Corpnbsp_6445,Non Operational,3668830
2009,Non-Instructional,Pike_County_School_Corpnbsp_6445,Non Operational,177
2013,Non-Instructional,Pike_County_School_Corpnbsp_6445,Non Operational,2690813
2014,Non-Instructional,Pike_County_School_Corpnbsp_6445,Non Operational,2799427
2015,Non-Instructional,Pike_County_School_Corpnbsp_6445,Non Operational,2939208
2016,Non-Instructional,Pike_County_School_Corpnbsp_6445,Non Operational,3236572
2006,Non-Instructional,Pike_County_School_Corpnbsp_6445,Not Categorized,0
2009,Non-Instructional,Pike_County_School_Corpnbsp_6445,Not Categorized,00
2013,Non-Instructional,Pike_County_School_Corpnbsp_6445,Not Categorized,0
2014,Non-Instructional,Pike_County_School_Corpnbsp_6445,Not Categorized,0
2015,Non-Instructional,Pike_County_School_Corpnbsp_6445,Not Categorized,0
2016,Non-Instructional,Pike_County_School_Corpnbsp_6445,Not Categorized,0
2006,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Academic Achievement,5785485
2009,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Academic Achievement,4429160
2013,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Academic Achievement,4460321
2014,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Academic Achievement,4376976
2015,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Academic Achievement,4309795
2016,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Academic Achievement,4202595
2006,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Instructional Support,613146
2009,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Instructional Support,737217
2013,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Instructional Support,721037
2014,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Instructional Support,674634
2015,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Instructional Support,674558
2016,Instructional,Pioneer_Regional_School_Corpnbsp_775,Student Instructional Support,775838
2006,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Overhead and Operational,2221218
2009,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Overhead and Operational,224
2013,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Overhead and Operational,2645510
2014,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Overhead and Operational,2763080
2015,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Overhead and Operational,3227620
2016,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Overhead and Operational,3380910
2006,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Non Operational,1302471
2009,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Non Operational,131
2013,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Non Operational,1137367
2014,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Non Operational,1130647
2015,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Non Operational,1070854
2016,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Non Operational,1149995
2006,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Not Categorized,0
2009,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Not Categorized,00
2013,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Not Categorized,0
2014,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Not Categorized,0
2015,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Not Categorized,0
2016,Non-Instructional,Pioneer_Regional_School_Corpnbsp_775,Not Categorized,0
2006,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Academic Achievement,17835368
2009,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Academic Achievement,21090721
2013,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Academic Achievement,23864323
2014,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Academic Achievement,25668243
2015,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Academic Achievement,26546089
2016,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Academic Achievement,28257835
2006,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Instructional Support,2304088
2009,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Instructional Support,3012389
2013,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Instructional Support,2949289
2014,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Instructional Support,3128003
2015,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Instructional Support,3200269
2016,Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Student Instructional Support,3268479
2006,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Overhead and Operational,7706059
2009,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Overhead and Operational,208
2013,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Overhead and Operational,9257941
2014,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Overhead and Operational,10050365
2015,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Overhead and Operational,10372030
2016,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Overhead and Operational,10343102
2006,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Non Operational,9137507
2009,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Non Operational,247
2013,Non-Instructional,Plainfield_Community_Sch_Corpnbsp_3330,Non Operational,18032954
